feature,importance
Condition_1_RRAe_True,6.0077614e-06
Roof_Style_Mansard_False,3.4953641e-06
Functional_Mod_True,2.9504895e-06
Neighborhood_Crawford_True,8.590633e-07
Exterior_2nd_Brk Cmn_False,0.0
Exterior_1st_Stucco_True,0.0
Exterior_2nd_AsphShn_True,0.0
Exterior_2nd_AsphShn_False,0.0
Exterior_2nd_AsbShng_True,0.0
Condition_2_RRAn_False,0.0
Exterior_1st_ImStucc_True,0.0
Condition_2_Norm_True,0.0
Condition_2_PosA_False,0.0
Condition_2_PosA_True,0.0
Exterior_1st_ImStucc_False,0.0
Exterior_1st_PreCast_True,0.0
Exterior_1st_Stone_True,0.0
Neighborhood_Landmark_True,0.0
Neighborhood_Landmark_False,0.0
Bsmt_Cond_Poor_False,0.0
Bsmt_Cond_Poor_True,0.0
Bsmt_Cond_No_Basement_True,0.0
Bsmt_Qual_Poor_False,0.0
Bsmt_Cond_Excellent_True,0.0
Bsmt_Cond_Excellent_False,0.0
Bsmt_Qual_No_Basement_True,0.0
Bsmt_Qual_Poor_True,0.0
Exterior_1st_CBlock_False,0.0
Condition_1_RRNn_True,0.0
Condition_2_Artery_True,0.0
Condition_2_Feedr_True,0.0
Foundation_Stone_True,0.0
Foundation_Wood_True,0.0
Exterior_1st_AsphShn_True,0.0
Roof_Matl_WdShake_True,0.0
Exterior_1st_BrkComm_True,0.0
Condition_1_RRNe_True,0.0
Exterior_1st_CBlock_True,0.0
Exterior_2nd_Other_False,0.0
Exterior_2nd_CBlock_True,0.0
Exterior_2nd_CmentBd_True,0.0
Exterior_2nd_Brk Cmn_True,0.0
Exterior_2nd_CBlock_False,0.0
Exterior_2nd_PreCast_False,0.0
Exterior_2nd_Other_True,0.0
Condition_1_RRAe_False,0.0
Exterior_2nd_Stone_True,0.0
Foundation_Slab_True,0.0
Foundation_Stone_False,0.0
Exterior_2nd_PreCast_True,0.0
Exterior_2nd_Stone_False,0.0
Exterior_2nd_ImStucc_True,0.0
MS_SubClass_Split_Foyer_True,0.0
MS_SubClass_PUD_Multilevel_Split_Level_Foyer_True,0.0
Overall_Qual_Very_Poor_True,0.0
House_Style_Two_and_Half_Fin_True,0.0
Sale_Condition_AdjLand_True,0.0
Sale_Type_VWD_False,0.0
Sale_Type_VWD_True,0.0
MS_SubClass_One_and_Half_Story_Unfinished_All_Ages_True,0.0
MS_SubClass_PUD_Multilevel_Split_Level_Foyer_False,0.0
Overall_Cond_Very_Poor_True,0.0
Sale_Type_Con_True,0.0
Sale_Type_Con_False,0.0
Sale_Type_CWD_True,0.0
Condition_2_RRAe_True,0.0
Condition_2_RRAe_False,0.0
Condition_2_PosN_True,0.0
Roof_Matl_Metal_True,0.0
Roof_Matl_Roll_False,0.0
Roof_Matl_Roll_True,0.0
Roof_Matl_Metal_False,0.0
BsmtFin_Type_1_No_Basement_False,0.0
BsmtFin_Type_2_ALQ_True,0.0
BsmtFin_Type_1_Unf_True,0.0
BsmtFin_Type_1_No_Basement_True,0.0
Neighborhood_Mitchell_True,0.0
Neighborhood_Northridge_Heights_True,0.0
Neighborhood_Northpark_Villa_True,0.0
Neighborhood_Northpark_Villa_False,0.0
Neighborhood_Meadow_Village_True,0.0
Functional_Min2_True,0.0
Electrical_Unknown_False,0.0
Electrical_Unknown_True,0.0
Heating_Wall_True,0.0
Electrical_FuseP_False,0.0
Electrical_FuseP_True,0.0
Electrical_Mix_False,0.0
Electrical_Mix_True,0.0
Heating_OthW_True,0.0
Heating_Wall_False,0.0
Heating_Floor_False,0.0
BsmtFin_Type_2_No_Basement_True,0.0
Heating_OthW_False,0.0
Heating_Grav_True,0.0
Heating_Grav_False,0.0
Neighborhood_College_Creek_True,0.0
BsmtFin_Type_2_LwQ_True,0.0
BsmtFin_Type_2_No_Basement_False,0.0
Heating_Floor_True,0.0
Heating_GasW_True,0.0
Roof_Style_Shed_False,0.0
Roof_Style_Shed_True,0.0
House_Style_Two_and_Half_Fin_False,0.0
Roof_Style_Mansard_True,0.0
Roof_Matl_ClyTile_True,0.0
Roof_Matl_ClyTile_False,0.0
Roof_Matl_Membran_False,0.0
Roof_Matl_Membran_True,0.0
MS_Zoning_A_agr_True,0.0
MS_Zoning_A_agr_False,0.0
Functional_Sev_True,0.0
MS_Zoning_I_all_False,0.0
Garage_Type_Basment_True,0.0
Condition_2_RRNn_True,0.0
Condition_2_RRAn_True,0.0
Condition_2_RRNn_False,0.0
Roof_Style_Flat_True,0.0
Fireplace_Qu_Poor_True,0.0
Functional_Sal_True,0.0
Functional_Sal_False,0.0
MS_Zoning_Residential_Medium_Density_True,0.0
MS_Zoning_I_all_True,0.0
Neighborhood_Blueste_True,0.0
Neighborhood_Blueste_False,0.0
Neighborhood_Briardale_True,0.0
MS_SubClass_Two_Story_PUD_1946_and_Newer_True,0.0
Garage_Qual_Excellent_True,0.0
Garage_Type_No_Garage_True,0.0
Garage_Cond_Excellent_True,0.0
Garage_Qual_Poor_True,0.0
Garage_Qual_No_Garage_True,0.0
Garage_Qual_Poor_False,0.0
Garage_Qual_No_Garage_False,0.0
Garage_Type_More_Than_Two_Types_True,0.0
Garage_Cond_No_Garage_True,0.0
Garage_Cond_Good_True,0.0
Garage_Cond_Poor_False,0.0
Garage_Cond_Poor_True,0.0
Garage_Cond_No_Garage_False,0.0
MS_SubClass_One_Story_with_Finished_Attic_All_Ages_True,0.0
MS_SubClass_One_and_Half_Story_Unfinished_All_Ages_False,0.0
MS_SubClass_One_and_Half_Story_PUD_All_Ages_True,0.0
MS_SubClass_One_and_Half_Story_PUD_All_Ages_False,0.0
Sale_Condition_Partial_True,0.0
